data_type,display_in_jbrowse,show_feature_label,label,comment,assayed_gene_product,background,alleles,mutant(s),conditions,growth_phase_or_response,strand,assay_type,first_author,publication_year,pmed_id,DB,study_id,sample_id,short_description,data_file_type,source_url
Nucleosome positioning,yes,yes,Nucleosome positioning in atf1delta during vegetative growth - Soriano et al. (2013),,,h+,mutant,atf1delta,,vegetative growth,,tiling micro arrays,Soriano,2013,24256300,GEO,GSE41773,GSM1023947,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1023947_MN_atf1D.bw
Nucleosome positioning,yes,yes,Nucleosome positioning in pcr1delta during vegetative growth - Soriano et al. (2013),,,h+,mutant,pcr1delta,,vegetative growth,,tiling micro arrays,Soriano,2013,24256300,GEO,GSE41773,GSM1023948,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1023948_MN_pcr1D.bw
Nucleosome positioning,yes,yes,Nucleosome positioning during vegetative growth - Soriano et al. (2013),,,h-,WT,not applicable,,vegetative growth,,Single-end sequencing,Soriano,2013,24256300,GEO,GSE41773,GSM1023946,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1023946_MN_Mit.bw
Nucleosome positioning,yes,yes,Nucleosome positioning during vegetative growth - Soriano et al. (2013),,,h-,WT,not applicable,,vegetative growth,,NGS,Soriano,2013,24256300,GEO,GSE41773,GSM1024003,,bigWig,https://www.pombase.org/external_datasets/GSE41773/GSM1024003_MN_Mit.bw
Poly(A) sites,yes,yes,Poly(A) sites during vegetative growth (forward strand) - Mata (2013),,,h-,WT,not applicable,,vegetative growth,forward strand,mRNA end sequencing,Mata,2013,23900342,ArrayExpress,E-MTAB-1642,,,bigWig,https://www.pombase.org/external_datasets/JuanMata_polyA/polyA_plus.bw
Poly(A) sites,yes,yes,Poly(A) sites during vegetative growth (reverse strand) - Mata (2013),,,h-,WT,not applicable,,vegetative growth,reverse strand,mRNA end sequencing,Mata,2013,23900342,ArrayExpress,E-MTAB-1642,,,bigWig,https://www.pombase.org/external_datasets/JuanMata_polyA/polyA_minus.bw
Poly(A) sites,yes,yes,Poly(A) sites during vegetative growth; mapped from stranded data (forward strand) - Schlackow et al. (2013),,,,WT,not applicable,,vegetative growth,forward strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1154,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/Strandspecific_cycling_P.bw
Poly(A) sites,yes,yes,Poly(A) sites during vegetative growth; mapped from stranded data (reverse strand) - Schlackow et al. (2013),,,,WT,not applicable,,vegetative growth,reverse strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1154,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/Strandspecific_cycling_N.bw
Poly(A) sites,yes,yes,"Poly(A) sites across multiple conditions: quiescence 24h & 7d, meiosis, and vegetative growth; mapped from stranded data, and vegetative growth mapped from non-stranded data (forward strand) - Schlackow et al. (2013)",,,,WT,not applicable,,multiple (combined data),forward strand,RNA-Seq,Schlackow,2013,24152550,ArrayExpress,"E-MTAB-1824,E-MTAB-1154,E-MTAB-5",,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/All_combined_P.bw
Poly(A) sites,yes,yes,"Poly(A) sites across multiple conditions: quiescence 24h & 7d, meiosis, and vegetative growth; mapped from stranded data, and vegetative growth mapped from non-stranded data (reverse strand) - Schlackow et al. (2013)",,,,WT,not applicable,,multiple (combined data),reverse strand,RNA-Seq,Schlackow,2013,24152550,ArrayExpress,"E-MTAB-1824,E-MTAB-1154,E-MTAB-5",,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/All_combined_N.bw
Poly(A) sites,yes,yes,"Poly(A) sites across multiple conditions: quiescence 24h & 7d, meiosis, and vegetative growth (forward strand) - Schlackow et al. (2013)",,,,WT,not applicable,,multiple (combined data),forward strand,RNA-Seq,Schlackow,2013,24152550,ArrayExpress,"E-MTAB-1824,E-MTAB-1154",,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/All_strandspecific_combined_P.bw
Poly(A) sites,yes,yes,"Poly(A) sites across multiple conditions: quiescence 24h & 7d, meiosis, and vegetative growth (reverse strand) - Schlackow et al. (2013)",,,,WT,not applicable,,multiple (combined data),reverse strand,RNA-Seq,Schlackow,2013,24152550,ArrayExpress,"E-MTAB-1824,E-MTAB-1154",,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/All_strandspecific_combined_N.bw
Poly(A) sites,yes,yes,Poly(A) sites during meiosis (forward strand) - Schlackow et al. (2013),,,h+/h+ pat1-114,WT,not applicable,"nitrogen starvation, high temperature",meiosis,forward strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1824,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/meiosis_arrested_P.bw
Poly(A) sites,yes,yes,Poly(A) sites during meiosis (reverse strand) - Schlackow et al. (2013),,,h+/h+ pat1-114,WT,not applicable,"nitrogen starvation, high temperature",meiosis,reverse strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1824,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/meiosis_arrested_N.bw
Poly(A) sites,yes,yes,Poly(A) sites during quiescence 24h (forward strand) - Schlackow et al. (2013),,,h-,WT,not applicable,nitrogen starvation,quiescence,forward strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1154,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/quiescence_arrested_24h_nitrogen_depletion_P.bw
Poly(A) sites,yes,yes,Poly(A) sites during quiescence 24h (reverse strand) - Schlackow et al. (2013),,,h-,WT,not applicable,nitrogen starvation,quiescence,reverse strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1154,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/quiescence_arrested_24h_nitrogen_depletion_N.bw
Poly(A) sites,yes,yes,Poly(A) sites during quiescence 7d (forward strand) - Schlackow et al. (2013),,,h-,WT,not applicable,nitrogen starvation,quiescence,forward strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1824,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/quiescence_arreseted_7days_nitrogen_depletion_P.bw
Poly(A) sites,yes,yes,Poly(A) sites during quiescence 7d (reverse strand) - Schlackow et al. (2013),,,h-,WT,not applicable,nitrogen starvation,quiescence,reverse strand,stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-1824,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/quiescence_arreseted_7days_nitrogen_depletion_N.bw
Poly(A) sites,yes,yes,Poly(A) sites during vegetative growth; mapped from non-stranded data (forward strand) - Schlackow et al. (2013),,,h-,WT,not applicable,,vegetative growth,forward strand,non-stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-5,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/Nonstrandspecific_cycling_P.bw
Poly(A) sites,yes,yes,Poly(A) sites during vegetative growth; mapped from non-stranded data (reverse strand) - Schlackow et al. (2013),,,h-,WT,not applicable,,vegetative growth,reverse strand,non-stranded RNA-Seq,Schlackow,2013,24152550,ArrayExpress,E-MTAB-5,,,bigWig,https://www.pombase.org/external_datasets/MSchlackow_polyA/Nonstrandspecific_cycling_N.bw
Replication origins,yes,yes,Replication origins in cells synchronized by cdc25-ts block/release and hydroxyurea arrest - Xu et al. (2012),,,cdc25-22,WT,not applicable,hydroxyurea,vegetative growth,,HT sequencing,Xu,2012,22531001,,not available,,,bigWig,https://www.pombase.org/external_datasets/NRhind_RepProfile/NRhind_cdc25-22.bw
Replication origins,yes,yes,Replication origins in dfp1-3A synchronized by elutriation and hydroxyurea arrest - Xu et al. (2012),,,,mutant,dfp1-3A,hydroxyurea,vegetative growth,,HT sequencing,Xu,2012,22531001,,not available,,,bigWig,https://www.pombase.org/external_datasets/NRhind_RepProfile/NRhind_dfp1-3A.bw
Replication origins,yes,yes,Replication origins in cells synchronized by elutriation and hydroxyurea arrest - Xu et al. (2012),,,,WT,not applicable,hydroxyurea,vegetative growth,,HT sequencing,Xu,2012,22531001,,not available,,,bigWig,https://www.pombase.org/external_datasets/NRhind_RepProfile/NRhind_WT.bw
Transcripts,yes,yes,Poly(A)+ transcripts during quiescence; repeat 1 - Marguerat et al. (2012),,,h-,WT,not applicable,24h nitrogen starvation,quiescence,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown for 24h in EMM medium without nitrogen source,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146820.bw
Transcripts,yes,yes,Poly(A)+ transcripts during quiescence; repeat 2 - Marguerat et al. (2012),,,h-,WT,not applicable,24h nitrogen starvation,quiescence,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown for 24h in EMM medium without nitrogen source,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146822.bw
Transcripts,yes,yes,Poly(A)+ transcripts during vegetative growth; repeat 1  - Marguerat et al. (2012),,,h-,WT,not applicable,glucose MM,vegetative growth,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown in log phase in EMM medium,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146823.bw
Transcripts,yes,yes,Poly(A)+ transcripts during vegetative growth; repeat 2 - Marguerat et al. (2012),,,h-,WT,not applicable,glucose MM,vegetative growth,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown in log phase in EMM medium,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146824.bw
Transcripts,yes,yes,Transcripts during vegetative growth; repeat 1 - Marguerat et al. (2012),,,h-,WT,not applicable,glucose MM,vegetative growth,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown in log phase in EMM medium,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146819.bw
Transcripts,yes,yes,Transcripts during vegetative growth; repeat 2 - Marguerat et al. (2012),,,h-,WT,not applicable,glucose MM,vegetative growth,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown in log phase in EMM medium,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146821.bw
Transcripts,yes,yes,Transcripts in quiescent cells; repeat 1 - Marguerat et al. (2012),,,h-,WT,not applicable,24h nitrogen starvation,quiescence,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown for 24h in EMM medium without nitrogen source,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146817.bw
Transcripts,yes,yes,Transcripts in quiescent cells; repeat 2 - Marguerat et al. (2012),,,h-,WT,not applicable,24h nitrogen starvation,quiescence,,RNA-Seq,Marguerat,2012,23101633,ArrayExpress,E-MTAB-1154,,Grown for 24h in EMM medium without nitrogen source,bigWig,https://www.pombase.org/external_datasets/ERP001483/ERS146818.bw
Transcripts,no,yes,"Transcripts across multiple conditions: early stationary phase, glucose starvation, heat shock and vegetative growth (forward strand) - Rhind et al. (2011)",,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_all_61G9EAAXX_and_61G9UAAXX.+.sorted.bam
Transcripts,yes,yes,"Transcripts across multiple conditions: early stationary phase, glucose starvation, heat shock and vegetative growth (forward strand) - Rhind et al. (2011)",,,,WT,not applicable,,multiple (combined data),forward strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_all_61G9EAAXX_and_61G9UAAXX.+.sorted.bw
Transcripts,no,yes,"Transcripts across multiple conditions: early stationary phase, glucose starvation, heat shock and vegetative growth (reverse strand) - Rhind et al. (2011)",,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_all_61G9EAAXX_and_61G9UAAXX.-.sorted.bam
Transcripts,yes,yes,"Transcripts across multiple conditions: early stationary phase, glucose starvation, heat shock and vegetative growth (reverse strand) - Rhind et al. (2011)",,,,WT,not applicable,,multiple (combined data),reverse strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_all_61G9EAAXX_and_61G9UAAXX.-.sorted.bw
Transcripts,no,yes,Transcripts during early stationary phase (forward strand) - Rhind et al. (2011),,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_plat_61G9EAAXX_and_61G9UAAXX.+.sorted.bam
Transcripts,yes,yes,Transcripts during early stationary phase (forward strand) - Rhind et al. (2011),,,,WT,not applicable,,stationary phase,forward strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_plat_61G9EAAXX_and_61G9UAAXX.+.sorted.bw
Transcripts,no,yes,Transcripts during early stationary phase (reverse strand) - Rhind et al. (2011),,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_plat_61G9EAAXX_and_61G9UAAXX.-.sorted.bam
Transcripts,yes,yes,Transcripts during early stationary phase (reverse strand) - Rhind et al. (2011),,,,WT,not applicable,,stationary phase,reverse strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_plat_61G9EAAXX_and_61G9UAAXX.-.sorted.bw
Transcripts,yes,yes,Transcripts during glucose starvation (forward strand) - Rhind et al. (2011),,,,WT,not applicable,,glucose starvation,forward strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_ds_61G9EAAXX_and_61G9UAAXX.+.sorted.bw
Transcripts,no,yes,Transcripts during glucose starvation (reverse strand) - Rhind et al. (2011),,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_ds_61G9EAAXX_and_61G9UAAXX.+.sorted.bam
Transcripts,no,yes,Transcripts during glucose starvation (reverse strand) - Rhind et al. (2011),,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_ds_61G9EAAXX_and_61G9UAAXX.-.sorted.bam
Transcripts,yes,yes,Transcripts during glucose starvation (reverse strand) - Rhind et al. (2011),,,,WT,not applicable,,glucose starvation,reverse strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_ds_61G9EAAXX_and_61G9UAAXX.-.sorted.bw
Transcripts,no,yes,Transcripts during heat shock (forward strand) - Rhind et al. (2011),,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_hs_61G9EAAXX_and_61G9UAAXX.+.sorted.bam
Transcripts,yes,yes,Transcripts during heat shock (forward strand) - Rhind et al. (2011),,,,WT,not applicable,,heat shock,forward strand,RNA-Seq,Rhind,2011,21511999,,not available,,,bigwig,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_hs_61G9EAAXX_and_61G9UAAXX.+.sorted.bw
Transcripts,no,yes,Transcripts during heat shock (reverse strand) - Rhind et al. (2011),,,,WT,not applicable,,,,RNA-Seq,Rhind,2011,21511999,,not available,,,rnaseq,https://www.pombase.org/external_datasets/NRhind_Transcriptome/Spom_hs_61G9EAAXX_and_61G9UAAXX.-.sorted.bam
